Date,Open,High,Low,Close,Adj Close,Volume
2024-06-17,66636.52,67188.32,65094.96,66490.30,66490.30,30006354476.00
2024-06-18,66490.98,66556.70,64066.96,65140.75,65140.75,39481285950.00
2024-06-19,65146.66,65695.35,64693.30,64960.30,64960.30,21103423504.00
2024-06-20,64960.30,66438.96,64547.85,64828.66,64828.66,25641109124.00
2024-06-21,64837.99,65007.55,63378.89,64096.20,64096.20,26188171739.00
2024-06-22,64113.86,64475.47,63929.76,64252.58,64252.58,9858198793.00
2024-06-23,64248.96,64491.70,63180.80,63180.80,63180.80,11170471802.00
2024-06-24,63173.35,63292.53,58601.70,60277.41,60277.41,43152133651.00
2024-06-25,60266.28,62258.26,60239.75,61804.64,61804.64,29201215431.00
2024-06-26,61789.68,62434.14,60695.19,60811.28,60811.28,22506003064.00
2024-06-27,60811.23,62293.86,60585.33,61604.80,61604.80,21231745045.00
2024-06-28,61612.80,62126.10,59985.40,60320.14,60320.14,24952866877.00
2024-06-29,60319.88,61097.62,60300.96,60887.38,60887.38,12652903396.00
2024-06-30,60888.45,62892.83,60632.95,62678.29,62678.29,17333226409.00
2024-07-01,62673.61,63777.23,62495.51,62851.98,62851.98,25468379421.00
2024-07-02,62844.41,63203.36,61752.75,62029.02,62029.02,20151616992.00
2024-07-03,62034.33,62187.70,59419.39,60173.92,60173.92,29756701685.00
2024-07-04,60147.14,60399.68,56777.80,56977.70,56977.70,41149609230.00
2024-07-05,57022.81,57497.15,53717.38,56662.38,56662.38,55417544033.00
2024-07-06,56659.07,58472.55,56038.96,58303.54,58303.54,20610320577.00
2024-07-07,58239.43,58371.12,55793.32,55849.11,55849.11,20553359505.00
2024-07-08,55849.57,58131.34,54321.02,56705.10,56705.10,39766159899.00
2024-07-09,56704.60,58239.20,56316.88,58009.23,58009.23,27849512607.00
2024-07-10,58033.88,59359.43,57178.41,57742.50,57742.50,26175260526.00
2024-07-11,57729.89,59299.43,57120.38,57344.91,57344.91,28707803842.00
2024-07-12,57341.20,58532.55,56590.18,57899.46,57899.46,25604805221.00
2024-07-13,57908.74,59787.08,57796.44,59231.95,59231.95,17080061806.00
2024-07-14,59225.25,61329.53,59225.25,60787.79,60787.79,22223416061.00
2024-07-15,60815.46,64870.15,60704.93,64870.15,64870.15,38094526099.00
2024-07-16,64784.42,65354.34,62487.97,65097.15,65097.15,41617346768.00
2024-07-17,65091.83,66066.73,63896.09,64118.79,64118.79,32525071311.00
2024-07-18,64104.74,65104.66,63246.16,63974.07,63974.07,27239305337.00
2024-07-19,63972.32,67442.64,63329.34,66710.16,66710.16,37003855410.00
2024-07-20,66709.92,67610.73,66299.62,67163.65,67163.65,19029581250.00
2024-07-21,67164.91,68372.91,65842.30,68154.52,68154.52,26652190004.00
2024-07-22,68152.98,68480.06,66611.30,67585.25,67585.25,42649109453.00
2024-07-23,67584.80,67779.02,65484.46,65927.67,65927.67,35605668666.00
2024-07-24,65927.86,67113.98,65147.00,65372.13,65372.13,27470942309.00
2024-07-25,65375.88,66112.42,63473.47,65777.23,65777.23,38315761670.00
2024-07-26,65771.81,68207.60,65743.77,67912.06,67912.06,30488630457.00
2024-07-27,67911.81,69398.51,66705.22,67813.34,67813.34,34691905492.00
2024-07-28,67808.66,68301.85,67085.83,68255.87,68255.87,18043166945.00
2024-07-29,68259.05,69987.54,66532.59,66819.91,66819.91,40780682628.00
2024-07-30,66819.05,66987.67,65323.19,66201.02,66201.02,31380492109.00
2024-07-31,66201.27,66810.21,64532.05,64619.25,64619.25,31292785994.00
2024-08-01,64625.84,65593.24,62248.94,65357.50,65357.50,40975554494.00
2024-08-02,65353.50,65523.22,61184.89,61415.07,61415.07,43060875727.00
2024-08-03,61414.81,62148.37,59836.53,60680.09,60680.09,31753030589.00
2024-08-04,60676.09,61062.99,57210.80,58116.98,58116.98,31758917219.00
2024-08-05,58110.30,58268.83,49121.24,53991.46,53991.46,108991085584.00
2024-08-06,53991.35,57059.92,53973.27,56034.32,56034.32,49300484106.00
